Testing SD card write operations 120: 2023-01-26 21:58:17
2023-01-26 22:03:44: {'ssid':'R25', 'bssid':'224e67ac66532d58f5c0a5bdcaf779accf9554f8026dad9cc25af24a854bb809', 'sec':0, 'channel':11, 'rssi':-93}
2023-01-26 22:03:44: {'ssid':'R211', 'bssid':'c054d080d2804b9fb28445ce4b2943a7852ed3ebe0d555bf190d429d2683e154', 'sec':4, 'channel':6, 'rssi':-95}
2023-01-26 22:03:44: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-97}
2023-01-26 22:03:48: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-45}
2023-01-26 22:03:48: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-53}
2023-01-26 22:03:48: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-53}
2023-01-26 22:03:48: {'ssid':'R29', 'bssid':'90f315662980ca45cd7a5b3694c2c32e31ccd03ffce97c9be8f2c4b51564d4b7', 'sec':3, 'channel':1, 'rssi':-78}
2023-01-26 22:03:48: {'ssid':'R21', 'bssid':'b12d991c78850d669e2c303685d9be993b3ba846e52841693c903218787b1969', 'sec':5, 'channel':1, 'rssi':-82}
2023-01-26 22:03:48: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-85}
2023-01-26 22:03:48: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:03:48: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:03:48: {'ssid':'R28', 'bssid':'d065346cdb2fd20724724b416242c90758212a40ef2c8a83e02dc37788aa187b', 'sec':2, 'channel':1, 'rssi':-90}
2023-01-26 22:03:48: {'ssid':'R24', 'bssid':'7c5f17fea617f861bd3a7fac3c192229f2c5835863c281d082e1c3df4f009e12', 'sec':3, 'channel':6, 'rssi':-90}
2023-01-26 22:03:48: {'ssid':'R23', 'bssid':'df719e6c47c60ac9b223ffb151005ca62bff2e897f9008697dd728da37468688', 'sec':3, 'channel':11, 'rssi':-90}
2023-01-26 22:03:48: {'ssid':'R26', 'bssid':'e96a70813d93551203116d65c55b7999b4e9d12977b51bf6663f75181cf55889', 'sec':5, 'channel':1, 'rssi':-91}
2023-01-26 22:03:48: {'ssid':'R23', 'bssid':'b56e638d829f64b699326a9d3367a84d2409d1f6b61b20812f14f29e6d4aace8', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 22:03:48: {'ssid':'R25', 'bssid':'5e25c02cc97c21f322734936f392c98c340ea100f674351fadb86ddabbd5ce2d', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-26 22:03:48: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-26 22:03:48: {'ssid':'R24', 'bssid':'823c3268e695c51938a1f6721eb8bef2a11cea62a1cffee692e4610e5e9df01f', 'sec':3, 'channel':11, 'rssi':-92}
2023-01-26 22:03:48: {'ssid':'R211', 'bssid':'c054d080d2804b9fb28445ce4b2943a7852ed3ebe0d555bf190d429d2683e154', 'sec':4, 'channel':6, 'rssi':-94}
2023-01-26 22:03:52: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-48}
2023-01-26 22:03:52: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-53}
2023-01-26 22:03:52: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-54}
2023-01-26 22:03:52: {'ssid':'R29', 'bssid':'90f315662980ca45cd7a5b3694c2c32e31ccd03ffce97c9be8f2c4b51564d4b7', 'sec':3, 'channel':1, 'rssi':-82}
2023-01-26 22:03:52: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-86}
2023-01-26 22:03:52: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:03:52: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-87}
2023-01-26 22:03:52: {'ssid':'R26', 'bssid':'e96a70813d93551203116d65c55b7999b4e9d12977b51bf6663f75181cf55889', 'sec':5, 'channel':1, 'rssi':-89}
2023-01-26 22:03:52: {'ssid':'R24', 'bssid':'7565ebdae311ca169f1cd31d3c2120e0d8e25b4297815f8819b44535f8272569', 'sec':3, 'channel':1, 'rssi':-90}
2023-01-26 22:03:52: {'ssid':'R25', 'bssid':'7fa78e4c4c1e6f96270019af27100e98490779e8687184e48f07ca22c239d8a0', 'sec':0, 'channel':1, 'rssi':-91}
2023-01-26 22:03:52: {'ssid':'R23', 'bssid':'b56e638d829f64b699326a9d3367a84d2409d1f6b61b20812f14f29e6d4aace8', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 22:03:52: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-26 22:03:52: {'ssid':'R24', 'bssid':'7c5f17fea617f861bd3a7fac3c192229f2c5835863c281d082e1c3df4f009e12', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-26 22:03:52: {'ssid':'R25', 'bssid':'5e25c02cc97c21f322734936f392c98c340ea100f674351fadb86ddabbd5ce2d', 'sec':0, 'channel':6, 'rssi':-93}
2023-01-26 22:03:52: {'ssid':'R24', 'bssid':'823c3268e695c51938a1f6721eb8bef2a11cea62a1cffee692e4610e5e9df01f', 'sec':3, 'channel':11, 'rssi':-93}
2023-01-26 22:03:52: {'ssid':'R23', 'bssid':'df719e6c47c60ac9b223ffb151005ca62bff2e897f9008697dd728da37468688', 'sec':3, 'channel':11, 'rssi':-94}
2023-01-26 22:03:52: {'ssid':'R211', 'bssid':'c054d080d2804b9fb28445ce4b2943a7852ed3ebe0d555bf190d429d2683e154', 'sec':4, 'channel':6, 'rssi':-94}
2023-01-26 22:03:57: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-46}
2023-01-26 22:03:57: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-55}
2023-01-26 22:03:57: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-55}
2023-01-26 22:03:57: {'ssid':'R29', 'bssid':'90f315662980ca45cd7a5b3694c2c32e31ccd03ffce97c9be8f2c4b51564d4b7', 'sec':3, 'channel':1, 'rssi':-83}
2023-01-26 22:03:57: {'ssid':'R21', 'bssid':'b12d991c78850d669e2c303685d9be993b3ba846e52841693c903218787b1969', 'sec':5, 'channel':1, 'rssi':-83}
2023-01-26 22:03:57: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-85}
2023-01-26 22:03:57: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-86}
2023-01-26 22:03:57: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-87}
2023-01-26 22:03:57: {'ssid':'R26', 'bssid':'e96a70813d93551203116d65c55b7999b4e9d12977b51bf6663f75181cf55889', 'sec':5, 'channel':1, 'rssi':-90}
2023-01-26 22:03:57: {'ssid':'R25', 'bssid':'7fa78e4c4c1e6f96270019af27100e98490779e8687184e48f07ca22c239d8a0', 'sec':0, 'channel':1, 'rssi':-90}
2023-01-26 22:03:57: {'ssid':'R24', 'bssid':'7c5f17fea617f861bd3a7fac3c192229f2c5835863c281d082e1c3df4f009e12', 'sec':3, 'channel':6, 'rssi':-90}
2023-01-26 22:03:57: {'ssid':'R25', 'bssid':'224e67ac66532d58f5c0a5bdcaf779accf9554f8026dad9cc25af24a854bb809', 'sec':0, 'channel':11, 'rssi':-90}
2023-01-26 22:03:57: {'ssid':'R27', 'bssid':'43274de538abd46227d53ef438a647ac7301d7044f440645f7fe535107f2052b', 'sec':0, 'channel':1, 'rssi':-91}
2023-01-26 22:03:57: {'ssid':'R23', 'bssid':'b56e638d829f64b699326a9d3367a84d2409d1f6b61b20812f14f29e6d4aace8', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 22:03:57: {'ssid':'R25', 'bssid':'5e25c02cc97c21f322734936f392c98c340ea100f674351fadb86ddabbd5ce2d', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-26 22:03:57: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-26 22:03:57: {'ssid':'R23', 'bssid':'df719e6c47c60ac9b223ffb151005ca62bff2e897f9008697dd728da37468688', 'sec':3, 'channel':11, 'rssi':-92}
2023-01-26 22:03:57: {'ssid':'R211', 'bssid':'c054d080d2804b9fb28445ce4b2943a7852ed3ebe0d555bf190d429d2683e154', 'sec':4, 'channel':6, 'rssi':-94}
2023-01-26 22:04:01: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-50}
2023-01-26 22:04:01: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-55}
2023-01-26 22:04:01: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-55}
2023-01-26 22:04:01: {'ssid':'R29', 'bssid':'90f315662980ca45cd7a5b3694c2c32e31ccd03ffce97c9be8f2c4b51564d4b7', 'sec':3, 'channel':1, 'rssi':-84}
2023-01-26 22:04:01: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-85}
2023-01-26 22:04:01: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:04:01: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:04:01: {'ssid':'R24', 'bssid':'7565ebdae311ca169f1cd31d3c2120e0d8e25b4297815f8819b44535f8272569', 'sec':3, 'channel':1, 'rssi':-89}
2023-01-26 22:04:01: {'ssid':'R24', 'bssid':'823c3268e695c51938a1f6721eb8bef2a11cea62a1cffee692e4610e5e9df01f', 'sec':3, 'channel':11, 'rssi':-90}
2023-01-26 22:04:01: {'ssid':'R26', 'bssid':'e96a70813d93551203116d65c55b7999b4e9d12977b51bf6663f75181cf55889', 'sec':5, 'channel':1, 'rssi':-91}
2023-01-26 22:04:01: {'ssid':'R23', 'bssid':'b56e638d829f64b699326a9d3367a84d2409d1f6b61b20812f14f29e6d4aace8', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 22:04:01: {'ssid':'R211', 'bssid':'c054d080d2804b9fb28445ce4b2943a7852ed3ebe0d555bf190d429d2683e154', 'sec':4, 'channel':6, 'rssi':-95}
2023-01-26 22:04:05: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-48}
2023-01-26 22:04:05: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-55}
2023-01-26 22:04:05: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-56}
2023-01-26 22:04:05: {'ssid':'R21', 'bssid':'b12d991c78850d669e2c303685d9be993b3ba846e52841693c903218787b1969', 'sec':5, 'channel':1, 'rssi':-84}
2023-01-26 22:04:05: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:04:05: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-87}
2023-01-26 22:04:05: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-87}
2023-01-26 22:04:05: {'ssid':'R24', 'bssid':'7565ebdae311ca169f1cd31d3c2120e0d8e25b4297815f8819b44535f8272569', 'sec':3, 'channel':1, 'rssi':-91}
2023-01-26 22:04:05: {'ssid':'R23', 'bssid':'d7b941676bdac3284675bc36b80e5ffdedade4deb8449d4eb377f1fd658b92d6', 'sec':3, 'channel':1, 'rssi':-91}
2023-01-26 22:04:05: {'ssid':'R25', 'bssid':'5e25c02cc97c21f322734936f392c98c340ea100f674351fadb86ddabbd5ce2d', 'sec':0, 'channel':6, 'rssi':-91}
2023-01-26 22:04:05: {'ssid':'R24', 'bssid':'7c5f17fea617f861bd3a7fac3c192229f2c5835863c281d082e1c3df4f009e12', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 22:04:05: {'ssid':'R23', 'bssid':'b56e638d829f64b699326a9d3367a84d2409d1f6b61b20812f14f29e6d4aace8', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-26 22:04:05: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-26 22:04:09: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-47}
2023-01-26 22:04:09: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-56}
2023-01-26 22:04:09: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-56}
2023-01-26 22:04:09: {'ssid':'R29', 'bssid':'90f315662980ca45cd7a5b3694c2c32e31ccd03ffce97c9be8f2c4b51564d4b7', 'sec':3, 'channel':1, 'rssi':-81}
2023-01-26 22:04:09: {'ssid':'R21', 'bssid':'b12d991c78850d669e2c303685d9be993b3ba846e52841693c903218787b1969', 'sec':5, 'channel':1, 'rssi':-81}
2023-01-26 22:04:09: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-88}
2023-01-26 22:04:09: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-88}
2023-01-26 22:04:09: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-88}
2023-01-26 22:04:09: {'ssid':'R25', 'bssid':'7fa78e4c4c1e6f96270019af27100e98490779e8687184e48f07ca22c239d8a0', 'sec':0, 'channel':1, 'rssi':-90}
2023-01-26 22:04:09: {'ssid':'R26', 'bssid':'e96a70813d93551203116d65c55b7999b4e9d12977b51bf6663f75181cf55889', 'sec':5, 'channel':1, 'rssi':-93}
2023-01-26 22:04:09: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-94}
2023-01-26 22:04:13: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-50}
2023-01-26 22:04:13: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-55}
2023-01-26 22:04:13: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-57}
2023-01-26 22:04:13: {'ssid':'R29', 'bssid':'90f315662980ca45cd7a5b3694c2c32e31ccd03ffce97c9be8f2c4b51564d4b7', 'sec':3, 'channel':1, 'rssi':-81}
2023-01-26 22:04:13: {'ssid':'R21', 'bssid':'b12d991c78850d669e2c303685d9be993b3ba846e52841693c903218787b1969', 'sec':5, 'channel':1, 'rssi':-82}
2023-01-26 22:04:13: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-85}
2023-01-26 22:04:13: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:04:13: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:04:13: {'ssid':'R24', 'bssid':'7c5f17fea617f861bd3a7fac3c192229f2c5835863c281d082e1c3df4f009e12', 'sec':3, 'channel':6, 'rssi':-90}
2023-01-26 22:04:13: {'ssid':'R27', 'bssid':'43274de538abd46227d53ef438a647ac7301d7044f440645f7fe535107f2052b', 'sec':0, 'channel':1, 'rssi':-91}
2023-01-26 22:04:13: {'ssid':'R25', 'bssid':'5e25c02cc97c21f322734936f392c98c340ea100f674351fadb86ddabbd5ce2d', 'sec':0, 'channel':6, 'rssi':-91}
2023-01-26 22:04:13: {'ssid':'R23', 'bssid':'b56e638d829f64b699326a9d3367a84d2409d1f6b61b20812f14f29e6d4aace8', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 22:04:13: {'ssid':'R26', 'bssid':'e96a70813d93551203116d65c55b7999b4e9d12977b51bf6663f75181cf55889', 'sec':5, 'channel':1, 'rssi':-92}
2023-01-26 22:04:13: {'ssid':'R24', 'bssid':'7565ebdae311ca169f1cd31d3c2120e0d8e25b4297815f8819b44535f8272569', 'sec':3, 'channel':1, 'rssi':-92}
2023-01-26 22:04:13: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-26 22:04:13: {'ssid':'R24', 'bssid':'823c3268e695c51938a1f6721eb8bef2a11cea62a1cffee692e4610e5e9df01f', 'sec':3, 'channel':11, 'rssi':-92}
2023-01-26 22:04:13: {'ssid':'R28', 'bssid':'d065346cdb2fd20724724b416242c90758212a40ef2c8a83e02dc37788aa187b', 'sec':2, 'channel':1, 'rssi':-93}
2023-01-26 22:04:13: {'ssid':'R213', 'bssid':'b2c54304c4b9c033d81be9a33695bd1b67020854932617a2013c4f23d072040a', 'sec':4, 'channel':6, 'rssi':-95}
2023-01-26 22:04:13: {'ssid':'R211', 'bssid':'c054d080d2804b9fb28445ce4b2943a7852ed3ebe0d555bf190d429d2683e154', 'sec':4, 'channel':6, 'rssi':-95}
2023-01-26 22:04:17: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-47}
2023-01-26 22:04:17: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-53}
2023-01-26 22:04:17: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-54}
2023-01-26 22:04:17: {'ssid':'R29', 'bssid':'90f315662980ca45cd7a5b3694c2c32e31ccd03ffce97c9be8f2c4b51564d4b7', 'sec':3, 'channel':1, 'rssi':-81}
2023-01-26 22:04:17: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-85}
2023-01-26 22:04:17: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-85}
2023-01-26 22:04:17: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:04:17: {'ssid':'R25', 'bssid':'7fa78e4c4c1e6f96270019af27100e98490779e8687184e48f07ca22c239d8a0', 'sec':0, 'channel':1, 'rssi':-91}
2023-01-26 22:04:17: {'ssid':'R24', 'bssid':'7565ebdae311ca169f1cd31d3c2120e0d8e25b4297815f8819b44535f8272569', 'sec':3, 'channel':1, 'rssi':-91}
2023-01-26 22:04:17: {'ssid':'R25', 'bssid':'5e25c02cc97c21f322734936f392c98c340ea100f674351fadb86ddabbd5ce2d', 'sec':0, 'channel':6, 'rssi':-91}
2023-01-26 22:04:17: {'ssid':'R24', 'bssid':'7c5f17fea617f861bd3a7fac3c192229f2c5835863c281d082e1c3df4f009e12', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 22:04:17: {'ssid':'R24', 'bssid':'823c3268e695c51938a1f6721eb8bef2a11cea62a1cffee692e4610e5e9df01f', 'sec':3, 'channel':11, 'rssi':-91}
2023-01-26 22:04:17: {'ssid':'R28', 'bssid':'d065346cdb2fd20724724b416242c90758212a40ef2c8a83e02dc37788aa187b', 'sec':2, 'channel':1, 'rssi':-92}
2023-01-26 22:04:17: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-26 22:04:17: {'ssid':'R23', 'bssid':'b56e638d829f64b699326a9d3367a84d2409d1f6b61b20812f14f29e6d4aace8', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-26 22:04:17: {'ssid':'R211', 'bssid':'c054d080d2804b9fb28445ce4b2943a7852ed3ebe0d555bf190d429d2683e154', 'sec':4, 'channel':6, 'rssi':-95}
2023-01-26 22:04:21: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-47}
2023-01-26 22:04:21: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-53}
2023-01-26 22:04:21: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-53}
2023-01-26 22:04:21: {'ssid':'R21', 'bssid':'b12d991c78850d669e2c303685d9be993b3ba846e52841693c903218787b1969', 'sec':5, 'channel':1, 'rssi':-82}
2023-01-26 22:04:21: {'ssid':'R29', 'bssid':'90f315662980ca45cd7a5b3694c2c32e31ccd03ffce97c9be8f2c4b51564d4b7', 'sec':3, 'channel':1, 'rssi':-82}
2023-01-26 22:04:21: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-85}
2023-01-26 22:04:21: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-85}
2023-01-26 22:04:21: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 22:04:21: {'ssid':'R28', 'bssid':'d065346cdb2fd20724724b416242c90758212a40ef2c8a83e02dc37788aa187b', 'sec':2, 'channel':1, 'rssi':-89}
2023-01-26 22:04:21: {'ssid':'R26', 'bssid':'e96a70813d93551203116d65c55b7999b4e9d12977b51bf6663f75181cf55889', 'sec':5, 'channel':1, 'rssi':-89}
2023-01-26 22:04:21: {'ssid':'R24', 'bssid':'7565ebdae311ca169f1cd31d3c2120e0d8e25b4297815f8819b44535f8272569', 'sec':3, 'channel':1, 'rssi':-91}
2023-01-26 22:04:21: {'ssid':'R24', 'bssid':'7c5f17fea617f861bd3a7fac3c192229f2c5835863c281d082e1c3df4f009e12', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 22:04:21: {'ssid':'R23', 'bssid':'df719e6c47c60ac9b223ffb151005ca62bff2e897f9008697dd728da37468688', 'sec':3, 'channel':11, 'rssi':-91}
2023-01-26 22:04:21: {'ssid':'R25', 'bssid':'5e25c02cc97c21f322734936f392c98c340ea100f674351fadb86ddabbd5ce2d', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-26 22:04:21: {'ssid':'R25', 'bssid':'224e67ac66532d58f5c0a5bdcaf779accf9554f8026dad9cc25af24a854bb809', 'sec':0, 'channel':11, 'rssi':-92}
2023-01-26 22:04:21: {'ssid':'R23', 'bssid':'b56e638d829f64b699326a9d3367a84d2409d1f6b61b20812f14f29e6d4aace8', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-26 22:04:21: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-26 22:04:25: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-47}
2023-01-26 22:04:25: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-54}
2023-01-26 22:04:25: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-54}
